prevword,nextword,prevtag,nexttag,class
o,hristianskij,prep,adj,6
svoj,i,pronoun,conj,2
.,ne,.,neg,1
ego,.,pronoun,.,2
smysl,i,noun,conj,4
k,takoj,prep,pronoun,0
ego,.,pronoun,.,4
svoj,on,pronoun,pronoun,2
ego,.,pronoun,.,2
kulturnyj,v,adj,prep,6
dlya,lyuboj,prep,pronoun,6
ves,kak,pronoun,conj,4
k,bozhestvo,prep,noun,2
s,.,prep,.,6
pri,Pushkin,prep,noun,4
k,.,prep,.,2
chelovecheskij,.,adj,.,2
v,naselenie,prep,noun,6
uroven,i,noun,conj,6
uroven,.,noun,.,6
uroven,naselenie,noun,noun,6
k,pobuditelnyj,prep,adj,0
nash,.,pronoun,.,5
v,individ,prep,noun,0
period,.,noun,.,4
vechnyj,.,adj,.,2
god,u,noun,prep,2
drugoj,.,pronoun,.,7
svoj,.,pronoun,.,4
v,chelovek,prep,noun,6
.,rastenie,.,noun,2
ves,chelovecheskij,pronoun,adj,4
vremya,.,noun,.,0
svoj,svyashchennyj,pronoun,adj,2
ehpoha,Ishvarakrishna,noun,noun,4
vozniknut,.,verb,.,1
dlya,na,prep,prep,1
v,organizm,prep,noun,2
obraz,.,noun,.,5
nash,.,pronoun,.,4
prodlevat,.,verb,.,2
ostavshijsya,prinimat,adj,verb,4
kniga,.,noun,.,7
chelovecheskij,ezhegodno,adj,adv,2
i,vechnyj,conj,adj,1
storona,Tolstoj,noun,noun,5
uchebnik,.,noun,.,7
v,progulka,prep,noun,4
minuta,kazatsya,noun,verb,4
na,.,prep,.,2
.,obitatel,.,noun,6
srok,obychnyj,noun,noun,4
hozyajstvennyj,.,adj,.,6
ehmotsionalnyj,.,adj,.,5
posleduyushchij,.,adj,.,4
duhovnyj,.,adj,.,6
nyneshnij,.,adj,.,5
o,i,prep,conj,1
chto,proniknut,conj,verb,1
o,.,prep,.,7
segodnyashnij,.,adj,.,7
novyj,.,adj,.,4
kochevoj,i,adj,conj,5
poehtizatsiya,.,noun,.,4
